state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,populationsource,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
AL,2011,6.1,30.6,99.6,58.9,60,142.7,150.2,102.7,41.6,8.7,2.2,5.1,14.2,8.8,9.2,19.4,15.1,9.2,4.8,1.4,3.1,20.8,70,41,41.6,101.2,111.3,77.2,30.3,6,700.9,242.7,202.6,214.6,221.5,191.6,136.1,119,157.7,229.3,190,2910,6580,9490,9680,24820,23620,15900,6320,1390,70,480,940,1420,1490,3370,2380,1420,730,220,95,1983,4626,6609,6704,17591,17498,11949,4600,959,30,440,1020,1460,1490,3860,3740,2530,990,210,30910,95133,66105,161238,161238,173846,157257,154796,151743,160232,SEER,959112,9600,59301,85.2,61.8,10,162,12820,81730,, 3 Oct 2024
AL,2012,5.3,26.7,97.4,55.4,56.5,134.6,147.9,104.1,41.7,8.2,1.8,4.2,12.8,7.7,8.1,17.1,14.2,9.2,4.7,1.5,2.8,18.4,69.4,39.1,39.7,96.5,110.3,78.3,30.5,5.5,636.4,230.1,184.9,197.5,203.6,177.4,128.4,117.6,153.8,268.7,170,2510,6270,8780,8950,23860,23270,16230,6260,1320,60,400,830,1220,1280,3030,2230,1440,700,240,88,1725,4470,6195,6283,17100,17347,12211,4574,885,20,380,980,1360,1380,3720,3690,2590,990,200,31416,93931,64432,158363,158363,177181,157293,155979,150062,161361,SEER,960239,8920,58400,83.2,60.8,9.3,152.7,12570,79890,, 3 Oct 2024
AL,2013,4.3,22.1,86.5,48.2,49.1,134.6,147.5,103.6,41.8,8,1.7,3,11.7,6.5,6.8,16.2,13.4,8.3,4.2,1.2,2,15.7,61.4,34.2,34.6,97.3,110.6,78.7,31,5.6,818.6,192.6,189.8,190.5,197.9,166.7,121.7,105.9,136.4,220.6,130,2080,5520,7600,7730,23960,23320,16230,6250,1290,50,280,740,1030,1080,2890,2130,1310,630,200,64,1471,3921,5392,5456,17322,17480,12325,4631,897,20,320,860,1180,1200,3750,3710,2600,990,200,31532,93844,63842,157686,157686,178018,158114,156646,149557,161460,SEER,961481,8230,58111,81.9,60.4,8.6,141.6,12450,78780,, 3 Oct 2024
AL,2014,3.6,20.8,82.3,45.3,46,134.4,150.9,110.2,44.5,8.3,1.1,3.2,10.9,6.3,6.5,16.4,13.7,8.5,4.4,1.3,2,14.4,58.6,32,32.4,97,113.2,84,33.1,5.7,546.6,223.5,185.7,196,200.4,169.1,121.3,101.4,131.8,231.4,120,1960,5130,7090,7210,23690,24190,17280,6700,1330,30,300,680,980,1020,2890,2200,1340,660,210,64,1358,3651,5009,5073,17092,18141,13176,4980,916,20,300,800,1100,1120,3710,3850,2770,1060,200,32200,94251,62310,156561,156561,176284,160306,156826,150482,159771,SEER,960230,8310,59378,83.7,61.8,8.7,140,12710,80400,, 3 Oct 2024
AL,2015,3.1,19.2,78.1,42.4,43,135.6,150.3,111.6,46.4,8.4,1,2.6,10.3,5.6,5.8,16.7,13.3,8.4,4.3,1.2,1.6,13.6,55.6,30.1,30.5,97.7,113.1,85.2,34.7,5.9,610.7,194.1,184.8,187.3,191.9,171.4,117.9,99,125.2,200.9,100,1830,4830,6660,6760,23320,24640,17390,7050,1320,30,250,640,890,920,2880,2180,1320,660,190,52,1295,3444,4739,4791,16794,18531,13287,5272,928,10,280,750,1040,1050,3650,3920,2790,1120,200,31737,95288,61907,157195,157195,171932,163914,155879,152081,156277,SEER,957278,8150,59603,84.1,62.3,8.5,136.7,12740,80480,, 3 Oct 2024
AL,2016,2.9,18.6,73,39.9,40.5,133.1,148.2,113,47.3,8.7,0.9,2.9,9.2,5.4,5.5,15.7,13.7,8.4,4.1,1.3,1.6,12.8,52.4,28.4,28.7,96.5,111,86.5,35.7,6.1,571.4,223.8,176.2,189.3,193.3,163,123,96.8,115.7,209.1,90,1780,4530,6310,6400,22160,24900,17560,7310,1320,30,280,570,850,880,2620,2290,1300,640,190,48,1231,3249,4480,4528,16066,18649,13440,5505,924,10,270,710,980,990,3480,3960,2820,1160,200,30236,95887,62032,157919,157919,166443,168044,155411,154413,151225,SEER,953455,7920,59112,83.5,62,8.3,134,12610,79650,, 3 Oct 2024
AL,2017,2.8,16.2,71.2,38.1,38.6,132.5,146.3,113,48.4,9.1,1,2.4,9.4,5.1,5.3,15,13.2,8.2,4.4,1.1,1.5,11.4,50.7,27,27.3,96.6,109.8,86.7,36.3,6.5,660.4,206.7,184.4,190.1,194.9,155.8,120,94.1,120.6,173.5,80,1540,4440,5980,6060,21640,25010,17500,7530,1360,30,220,580,810,840,2460,2250,1260,680,170,44,1076,3165,4241,4285,15780,18774,13425,5647,976,10,240,690,930,940,3400,3980,2810,1200,210,30106,94582,62367,156949,156949,163377,170917,154878,155507,149446,SEER,951074,7660,58887,83.2,61.9,8.1,130.1,12540,79090,Proportion of abortions had by 15-17-year-olds and 18-19-year-olds based on supplemental data from state Department of Health., 3 Oct 2024
AL,2018,2.6,15.6,64.8,35.6,36.1,129.3,143.9,112.8,48.5,9.9,1,2.7,8.2,4.9,5.1,14.8,13.8,8.5,4.5,1.5,1.3,10.6,46.6,25.1,25.4,94.2,107.3,86.2,36.3,6.9,760.5,252.1,175.4,194.6,200,157.5,128.4,99,124.2,213.1,80,1450,4100,5550,5630,20970,24610,17570,7580,1470,30,250,520,760,790,2400,2360,1330,700,220,38,979,2945,3924,3962,15268,18348,13422,5673,1023,10,220,640,860,870,3290,3910,2820,1210,230,30028,92764,63265,156029,156029,162100,170956,155764,156461,148950,SEER,950260,7800,57696,81.9,60.7,8.2,135.3,12320,77820,, 3 Oct 2024
AL,2019,3,14.3,66.3,35.7,36.2,130.4,147.4,114.9,49.5,10.2,1,1.9,8.3,4.5,4.7,15,14,9.5,4.8,1.6,1.6,10.1,47.6,25.5,25.9,94.9,109.9,87.1,36.8,7,654.5,189.4,174.3,177.9,183.5,158.2,127.8,108.6,130.7,233.8,90,1300,4220,5520,5610,20990,25020,18180,7770,1530,30,180,530,700,730,2420,2380,1500,760,240,47,925,3030,3955,4002,15279,18662,13777,5782,1047,10,200,660,860,870,3300,3970,2910,1230,230,30233,91177,63618,154795,154795,160960,169764,158239,156987,149908,SEER,950653,8030,58549,83.2,61.6,8.4,137.2,12510,79090,, 3 Oct 2024
AL,2020,3.2,14.8,65.5,35.3,35.9,127.2,150.2,113.5,51.5,10.4,1.1,2.3,9,5,5.2,17.2,16.9,9.9,5.4,1.4,1.6,10.2,46.4,24.8,25.1,90.3,109.7,85.5,37.9,7.4,666.4,231.3,192.9,202.3,208.4,190,154,116.4,142.4,194.1,100,1350,4040,5390,5490,20540,24950,18450,8060,1580,30,210,550,770,800,2770,2810,1620,850,220,50,926,2862,3788,3838,14578,18218,13890,5938,1120,10,210,630,830,850,3190,3920,2940,1270,250,30465,91168,61685,152853,152853,161467,166063,162534,156516,152182,SEER,951615,9060,57582,83.1,60.5,9.5,157.3,12420,79060,, 3 Oct 2024
AK,1988,8.8,59.5,185.3,106.3,108.1,241.6,210.8,107.2,50.2,11.3,4.3,23,57.8,35.9,36.8,43.9,25.2,11.3,6.9,2.3,3.4,28.5,101.4,55.6,56.3,161.1,152.5,79,35.5,7.3,1240.9,805.7,569.4,645.6,653,272.7,165.4,142.7,194,323.4,30,700,1280,1980,2010,4730,4920,3280,1290,210,20,270,400,670,680,860,590,350,180,40,13,334,702,1036,1049,3152,3562,2419,914,136,NA,90,180,270,280,720,770,520,200,30,3795,11702,6920,18622,18622,19566,23353,30614,25727,18755,SEER,136637,2700,11232,120.4,82.2,19.8,240.4,2520,16450,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of ID, OR, WA)", 3 Oct 2024
AK,1992,10.5,63,188.9,111.2,113.5,291.5,199.5,114.4,54.1,12.5,4.2,19.9,46.2,30,30.9,56,25.4,12.7,7.3,2.6,4.9,34.3,115,65.2,66.3,191.6,143,83.7,38.4,8.1,850.6,579.2,402.1,459.6,466,292.2,177.3,152.1,191.1,317.4,40,750,1400,2150,2190,4920,4650,3470,1600,310,20,240,340,580,600,950,590,390,220,60,21,409,851,1260,1281,3237,3334,2540,1137,197,NA,110,200,310,320,740,730,550,250,50,4259,11923,7399,19322,19322,16895,23317,30359,29635,24427,SEER,143955,2800,11726,119.1,81.5,19.5,238.8,2630,17150,"Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age in neighboring or similar states (weighted average of ID, OR, WA)", 3 Oct 2024
AK,1996,6.1,45.3,146.7,81.7,83.1,231.5,204.8,106.6,48.5,13.6,NA,12,31.1,18.9,19.3,46.9,27.2,11.7,5.5,1.9,3.2,26.7,93.7,50.8,51.5,149.9,145.7,78,35.4,9.6,NA,450.1,332.2,372,375.4,312.6,186.7,150.5,155.8,198.1,30,630,1140,1760,1790,4110,3840,2990,1460,390,NA,170,240,410,420,830,510,330,170,50,16,370,726,1096,1112,2664,2734,2192,1062,273,NA,90,170,260,260,620,600,470,230,60,4942,13834,7747,21581,21581,17767,18759,28087,30034,28529,SEER,144757,2310,10037,100.8,69.3,16,230.1,2240,14590,, 3 Oct 2024
AK,2000,5.6,37.8,146.8,74.7,75.9,208.8,181,122.9,53.5,14.1,2.3,7.9,27.6,14.6,15.1,33,21.1,12.1,5.9,1.9,2.6,24.2,97.1,48.9,49.5,143.7,131.5,91.4,39.1,10,902.3,327.3,283.8,298.1,305.3,230,160.1,132.5,151.3,191.4,30,590,1180,1780,1810,3930,3730,2740,1450,400,10,120,220,350,360,620,430,270,160,50,14,381,781,1162,1176,2705,2712,2037,1059,285,NA,90,180,270,270,600,590,430,230,60,5458,15737,8043,23780,23780,18825,20624,22298,27050,28587,SEER,141164,1900,9974,99.6,70.7,13.5,190.5,2180,14060,Abortion estimate based on the number of abortions among all women in the state and the proportion of abortions obtained by women of the same age nationally, 3 Oct 2024
AK,2005,5.1,30.1,128.1,65.2,66.3,189.8,184.6,129.8,64.4,18.2,2.3,8.4,28.8,15.7,16.2,31.4,21.2,12.4,7.1,3.2,2.1,17.4,80.3,39.9,40.4,129.3,134.4,96.8,47.1,12.3,1091.7,481.9,359.1,393.4,401.3,243,157.7,128.1,151.1,257.9,30,500,1190,1690,1720,4480,4000,2770,1440,480,10,140,270,410,420,740,460,260,160,80,12,290,748,1038,1050,3051,2915,2062,1055,326,NA,70,180,250,250,680,630,440,230,70,5612,16686,9316,26002,26002,23591,21690,21308,22382,26611,SEER,141584,2130,10459,105.2,73.9,15,203.7,2300,14890,, 3 Oct 2024
AK,2006,3.4,30.8,131,66.6,67.2,193.9,187,132.5,69.4,16.3,NA,7.7,27.8,14.9,15.2,29.8,21.5,11.5,7,2.3,NA,18.6,83.8,41.8,42.1,134.3,136.1,99.8,51.5,11.5,NA,417.1,331.4,355.8,360.1,221.6,157.7,115.6,136,199.5,20,520,1230,1750,1770,4700,4210,2780,1580,420,NA,130,260,390,400,720,480,240,160,60,NA,314,787,1101,1109,3258,3068,2098,1170,293,NA,80,180,260,260,720,660,440,250,60,5328,16927,9396,26323,26323,24261,22535,21020,22738,25488,SEER,142365,2060,10996,108.6,77.2,14.5,187.8,2410,15470,, 3 Oct 2024
AK,2007,9,29.4,134.1,67.2,69,193,185,133,64.6,16,NA,9,23.7,14.3,14.7,26.8,19.7,12.3,7.8,2.8,5.8,16.3,90,42.9,44,136.3,136.1,99.6,46.6,10.8,NA,553.6,263.9,334.2,333.7,196.7,145.1,123.3,168.1,261.5,50,490,1260,1750,1800,4700,4330,2790,1460,390,NA,150,220,370,380,650,460,260,180,70,30,271,846,1117,1147,3316,3184,2089,1054,262,NA,70,190,260,270,730,680,440,230,60,5177,16654,9401,26055,26055,24336,23398,20973,22611,24314,SEER,141687,2000,11052,109.1,78,14.1,181,2410,15460,, 3 Oct 2024
AK,2008,8.6,32.7,128.4,69.3,71,197.6,188.3,135.6,66,17.1,2.9,9,24.2,14.8,15.4,27.2,19.2,10.8,7,2.7,4.5,19,84.9,44.2,45.1,139.7,139.3,103.1,48.5,11.8,632.9,476.2,284.6,335.4,341.4,194.9,137.8,104.9,144.6,225.6,40,520,1260,1780,1820,4740,4580,2880,1470,400,10,140,240,380,400,650,470,230,160,60,23,301,834,1135,1158,3350,3388,2189,1084,273,NA,70,190,270,270,740,720,460,230,60,5064,15857,9828,25685,25685,23984,24323,21240,22330,23185,SEER,140747,1960,11442,112.9,81.3,13.9,171.6,2480,15890,, 3 Oct 2024
AK,2009,8.8,30.8,124.6,67.3,69,185.4,184.2,135.5,69.6,15.3,NA,8,23.6,14.1,14.3,27.7,20.3,11.2,8.2,2.4,5.9,18.3,82.2,43.2,44.3,129.1,134.9,102.7,50.4,10.6,NA,435,286.8,325.3,323.5,214.2,150.8,108.7,163,227.4,40,480,1240,1720,1770,4520,4660,2990,1550,350,NA,120,230,360,370,670,510,250,180,60,29,287,819,1106,1135,3146,3410,2268,1123,242,NA,70,190,260,260,700,730,480,240,50,4898,15644,9958,25602,25602,24362,25283,22085,22268,22908,SEER,142508,2040,11324,111.1,79.5,14.3,180.1,2470,15830,, 3 Oct 2024
AK,2010,6.2,29.5,121.5,64.8,66,191,177.1,140.4,62.7,17,NA,9,29.7,16.9,17,29,18.5,11.8,6.9,2.4,4.7,16.4,74,38.5,39.4,132.6,130.6,106.1,46,11.9,NA,548.1,400.8,439.5,431.7,219.1,142,111.6,149.3,202.7,30,450,1160,1610,1640,4770,4670,3250,1380,380,NA,140,280,420,420,730,490,270,150,50,23,251,705,956,979,3309,3447,2454,1013,269,NA,60,170,230,240,730,740,520,220,60,4923,15330,9523,24853,24853,24961,26394,23123,22035,22540,SEER,143906,2120,11471,111.8,79.7,14.7,184.6,2510,16090,, 3 Oct 2024
AK,2011,6.8,23.3,118.7,59.2,60.6,182.3,172.3,134.2,71.2,16.4,NA,6.7,26.5,14.1,14.5,27.5,18.3,10.7,7.7,2.3,4,13.3,74.6,36.4,37.2,126.7,126.8,102,52.3,11.5,NA,500,355.2,388.3,389.5,216.7,144.4,104.7,147.9,202.2,30,350,1080,1430,1470,4680,4700,3240,1530,370,NA,100,240,340,350,700,500,260,170,50,20,201,679,880,900,3252,3462,2460,1121,261,NA,50,160,210,220,720,740,520,240,60,4939,15099,9096,24195,24195,25658,27304,24113,21449,22661,SEER,145380,2030,11456,109.9,78.8,14,177.3,2490,15980,, 3 Oct 2024
AK,2012,10,20,114.8,54.9,57,163.6,165.8,134.3,70,18.2,NA,4.9,24.6,12.1,12.5,25.4,17,9.6,7.7,2.3,6.8,12.2,73.2,34.7,36.1,113.1,122.7,103.1,51.2,13.1,NA,399,335.7,349.8,345.9,224.3,138.3,93.4,150.5,174.7,50,300,1000,1290,1340,4310,4570,3350,1520,410,NA,70,210,290,290,670,470,240,170,50,33,182,635,817,850,2977,3380,2572,1113,295,NA,40,150,190,200,660,720,540,240,60,4866,14884,8680,23564,23564,26320,27558,24954,21721,22561,SEER,146678,1890,11187,105.7,76.3,12.9,168.8,2430,15500,, 3 Oct 2024
AK,2013,10.5,19.6,96.1,47.8,50,159.1,170.3,137.3,71.1,17.5,2.3,5.8,17.6,10.1,10.6,21.6,16.9,10.3,6,2.3,6.7,11.1,64,30.6,32,112.8,126.3,105,53.8,12.4,337.9,520.1,274.6,330.8,331.1,191.8,134.1,98.2,111,187.9,50,290,820,1110,1160,4230,4780,3550,1550,390,10,80,150,230,250,570,480,270,130,50,33,162,546,708,741,2997,3547,2712,1172,277,NA,40,120,170,170,660,760,570,250,60,4917,14636,8535,23171,23171,26580,28075,25828,21800,22278,SEER,147732,1740,11446,106,77.5,11.8,152.4,2460,15650,, 3 Oct 2024
AK,2014,7.5,16,93.3,44.3,45.9,160.1,167.1,139.8,66.9,16.8,NA,4,18.8,9.4,9.7,20.5,15.5,9.9,5.6,2.8,5.1,9.7,60.5,28.3,29.4,114.6,125,107.5,50.6,11.4,NA,416.2,309.8,332.9,330.1,178.9,123.9,91.8,111.3,244.6,40,230,780,1010,1050,4160,4730,3700,1470,360,NA,60,160,210,220,530,440,260,120,60,25,140,505,645,670,2980,3536,2844,1115,247,NA,30,120,150,160,650,750,590,240,60,4924,14468,8342,22810,22810,26002,28281,26467,22025,21597,SEER,147182,1640,11392,105.1,77.4,11.1,143.8,2440,15470,, 3 Oct 2024
AK,2015,5.8,15.6,94.9,44,45.3,151.1,164.3,139.1,71.9,15.9,NA,3.4,15.8,7.8,8,20.2,14.6,8.8,6.2,2.5,4,9.9,64.6,29.5,30.4,107.4,123.6,107.8,54.3,11,NA,340.8,243.7,264.6,264,188.3,118,82,113.4,225.4,30,220,760,990,1010,3830,4690,3730,1630,330,NA,50,130,180,180,510,420,240,140,50,19,142,520,662,681,2723,3525,2893,1230,230,NA,30,120,150,150,600,750,600,260,50,4795,14366,8047,22413,22413,25362,28527,26826,22650,20929,SEER,146707,1540,11282,103.8,76.9,10.5,136.2,2410,15230,, 3 Oct 2024
AK,2016,7.9,14.4,84.5,39.5,41.2,145.1,161.5,140.5,72.4,15.8,NA,4.5,13.1,7.6,7.8,17.3,14,9.7,5.8,2.3,5.7,7.9,58.5,26,27.2,105.1,121.7,108.3,55.1,11.1,NA,565.3,223.3,290.2,284.9,164.3,114.9,89.3,104.5,208.8,40,210,680,890,920,3540,4700,3850,1710,320,NA,60,100,170,170,420,410,260,140,50,27,114,469,583,610,2563,3546,2965,1299,226,NA,30,100,130,140,550,750,620,270,50,4766,14380,8023,22403,22403,24387,29127,27387,23581,20386,SEER,147271,1450,11209,102.2,76.1,9.8,129.4,2390,15050,, 3 Oct 2024
